EPS-Annual Basis,Ticker,Quarter-Year,CFPS,PE_Ratio,Market_Cap,ROE,Price_Sales_Ratio,Payout_Ratio,Debt_Equity_Ratio,Quarter,Final_Rating
2.268634317,MO,2013,0.67933967,95.74,70664650000,0.118475358,11.62247533,1.967213115,7.462976451,4,1
2.065217391,MO,2012,0.85770751,56.87,68208800000,0.348169192,10.92739507,0.808703536,10.15183081,4,1
4.540000002,MO,2003,1.011568966,87.35,66077037032,0.025806452,3.411131951,0,0.688342603,1,1
2.065217391,MO,2012,0.895280236,71.3,65515140000,0.262901918,11.60176023,0.861253854,9.217508781,1,1
2.065217391,MO,2012,1.068540434,75.67,64409280000,0.169943094,10.31869273,1.269406393,8.06311433,3,1
-0.024272028,GWPH,2019,-0.115231299,108.09,60825802800,0.109409899,844.3571837,0,0.156243998,2,0
1.64244186,MO,2011,0.49370155,34.65,58596960000,0.227173913,9.560606951,1.008373206,9.044021739,4,1
1.64244186,MO,2011,0.989859971,69.55,57076760000,0.265444671,9.344590701,0.673486786,7.418420457,3,1
1.64244186,MO,2011,0.983205374,73.45,55934560000,0.171832019,9.912202729,0.847385272,6.075738126,1,1
1.64244186,MO,2011,-0.774038462,89.3,54704000000,0.095834233,9.240540541,1.790540541,6.949924455,2,1
1.880115551,MO,2010,0.666666667,23.4,52771920000,0.21961165,8.243036551,0.645446508,6.205825243,3,1
-0.024272028,GWPH,2019,-0.067944927,130.67,49470146640,0.022131438,543.8012844,0,0.178135357,3,0
1.880115551,MO,2010,0.478093404,53.76695321,49411830000,0.177003082,8.336735279,0.86289445,6.203775039,4,1
1.49,MO,2008,-1.14115285,48.68468467,45276756746,0.23640061,8.958598486,0,2.902135231,2,1
-8.5,GWPH,2018,-0.456070283,-109.2457188,44056176480,-0.971377231,-553.8940203,0.031755356,0.181559354,3,0
-0.883902904,GWPH,2018,-0.456070283,-109.2457188,44056176480,-0.971377231,-553.8940203,0.031755356,0.181559354,3,0
1.49,MO,2008,0.913925082,68.96551723,42344827580,0.130416313,9.602001719,0,3.313508921,1,1
-0.024272028,GWPH,2019,-0.073569622,-120.082,41929087200,-0.034359272,384.402501,0,0.2151621,4,0
1.49,MO,2008,1.293272502,10.1,39823068949,0.207515558,7.602724122,0,2.646242221,3,1
0,MO,2009,-0.065269944,-7.56,37457516661,0.237033056,5.945637565,-0.20521542,7.427304488,3,0
-8.5,GWPH,2020,-0.067169923,-122.09,37210021200,-0.011139782,308.4564025,0,0.050209439,1,0
0,MO,2009,-0.918225,36.33794493,36737662321,0.302422973,5.467727686,0,8.172898594,2,0
-8.5,YCBD,2020,-0.151060988,2.354435586,35042884800,0.161503402,3.611253818,0.006719801,0.158785363,1,0
0,MO,2009,0.971205433,58.32142856,34351321419,0.212023038,7.594809069,0,10.99640029,1,0
1.49,MO,2008,0.46918123,50.51704539,34301073820,0.24009901,7.370235028,-0.366715758,6.768387553,4,1
9.320283019,TAP,2016,1.414021791,106.869375,22057839000,0.0208075,23.27758442,0.426841085,1.237693432,3,1
9.320283019,TAP,2016,1.468929254,124.0387232,21371872000,0.017488302,21.67093085,0.511897853,0.555190159,2,1
6.56545961,TAP,2017,-1.38744186,102.4160457,20616350000,0.017355992,8.419304121,0.438648783,1.547175017,1,1
9.320283019,TAP,2016,1.621698113,14.07093993,20239640000,0.125968806,5.051827077,0.061387653,1.569600743,4,1
