,EPS-Annual Basis,Ticker,Quarter-Year,CFPS,PE_Ratio,Market_Cap,ROE,Price_Sales_Ratio,Debt_Equity_Ratio,Quarter,Final_Rating
0,5.760000002000001,MO,2006,1.1543635620000001,62.41544136,185187000000,0.074888311,7.29138572,1.4627577680000001,4,1
1,5.760000002000001,MO,2006,1.895983945,59.38664886,173528000000,0.070939548,6.703797101,1.4511531930000001,3,1
2,5.760000002000001,MO,2006,3.68325286,62.22332943,171052000000,0.069260034,6.6378956339999995,1.510543952,2,1
3,5.150000001,MO,2005,1.3807469909999999,53.98697491,157156000000,0.08436214,6.295812993999999,1.843389555,3,1
4,4.360000002,MO,2007,0.9922859709999999,72.96335402,156579000000,0.11566239099999999,8.589574729,1.7815026409999999,4,1
5,5.760000002000001,MO,2006,-0.325336905,43.80838322,155388000000,0.09298972300000001,6.38014105,1.540425755,1,1
6,5.150000001,MO,2005,1.47829805,66.25680874,155240000000,0.065617386,6.33890171,1.795614305,4,1
7,4.360000002,MO,2007,1.5507701390000002,57.64235989,148544000000,0.149486629,7.733865852999999,1.656070538,3,1
8,4.360000002,MO,2007,-0.322134293,68.23762374,142275000000,0.14369400400000001,8.104092362000001,1.611578222,1,1
9,5.150000001,MO,2005,2.653305771,47.32579335,140037000000,0.088624656,5.650299489,1.9960165330000001,2,1
10,5.321186882,MO,2017,1.357400722,99.34433976,139181000000,0.114274062,22.88039125,2.7663132139999997,1,1
11,7.294569672000001,MO,2016,0.117827869,13.54394706,139178000000,0.804698512,22.26129239,2.596867659,4,1
12,5.150000001,MO,2005,-0.23185483899999998,51.992,135387000000,0.08034805099999999,5.732372258,1.8994415130000002,1,1
13,5.321186882,MO,2017,0.369078605,27.00850181,134124000000,0.32294986,21.98397312,1.8095207130000002,4,1
14,4.360000002,MO,2007,2.77067603,63.09000210000001,133498000000,0.130706035,7.097583308,1.644635246,2,1
15,7.294569672000001,MO,2016,-0.8603580559999999,80.06866304,132354000000,0.5264331210000001,20.2965036,8.975796178,2,1
16,4.600000001000001,MO,2004,1.014391378,65.30744873,130027000000,0.064823859,5.900936257000001,2.0387445459999998,4,1
17,5.321186882,MO,2017,-0.400931195,65.05531423,129395000000,0.16017072,19.41993396,2.521178934,2,1
18,7.294569672000001,MO,2016,1.223643808,98.08,128730000000,0.371263587,18.6429428,10.18682065,3,1
19,3.689984102,MO,2018,1.4045478580000001,56.89,124560000000,0.12540338199999998,18.21854176,1.836775526,3,1
20,5.321186882,MO,2017,1.119356513,32.21,123424000000,0.15337826699999998,18.34215337,2.629787934,3,1
21,7.294569672000001,MO,2016,1.361451943,67.56,122661000000,0.443351548,20.22102868,11.40910747,1,1
22,2.6726160119999998,MO,2015,0.842937277,29.54,119837000000,0.432986111,18.96750712,10.296875,4,1
23,2.6726160119999998,MO,2015,1.416921509,78.95,118642000000,0.529269138,17.71042544,10.08382404,3,1
24,4.540000002,MO,2003,0.905259653,89.7,117657000000,0.086692986,5.68640167,2.503409499,4,1
25,4.600000001000001,MO,2004,0.13792595900000001,35.11,116039000000,0.083532042,5.313394153,2.25514158,1,1
27,3.689984102,MO,2018,0.529287599,12.56,110763000000,0.118764244,17.56744647,1.733413522,2,1
28,3.689984102,MO,2018,1.461295419,56.8,106553000000,0.123034949,17.44480845,1.851695466,1,1
29,2.6726160119999998,MO,2015,-0.66293279,-10.56,106449000000,0.521050738,16.09690005,10.46779417,2,1
30,2.563195147,MO,2014,0.786653185,89.1,105032000000,0.410086264,16.78360499,10.43828799,4,1
31,-0.691813804,MO,2019,1.2011739590000001,56.78,101814000000,0.079551104,18.09069296,3.2071880110000004,1,0
32,4.600000001000001,MO,2004,2.16714171,136.0,99216871220,0.08853969699999999,4.365402641,2.1623972769999997,3,1
33,4.600000001000001,MO,2004,1.964418131,78.8,98790169453,0.09562556300000001,4.293731287,2.226858686,2,1
34,4.540000002,MO,2003,2.241490249,110.56,98773233607,0.112532305,4.717189627,2.779797626,3,1
35,2.6726160119999998,MO,2015,1.246185148,78.4,98398300000,0.401894986,16.95353205,12.50651402,1,1
36,2.563195147,MO,2014,1.1332660270000001,56.7,94097500000,0.32533768,14.49661069,6.937121565,3,1
37,-0.691813804,MO,2019,0.033119657999999996,43.2,90792000000,0.137997788,13.71687566,2.975456305,2,0
38,3.689984102,MO,2018,0.9109697929999999,67.8,90198600000,0.084533712,14.75279686,2.762629337,4,1
39,-0.691813804,MO,2019,1.325307651,78.2,89712000000,-0.291546127,14.93457633,6.918836387000001,4,0
40,-0.691813804,MO,2019,1.497060396,80.3,85991160000,-0.246752015,12.54246791,4.017828355,3,0
41,4.540000002,MO,2003,0.9272749690000001,51.2,85368421040,0.114488713,4.098143202,2.855967263,2,1
42,2.563195147,MO,2014,-0.705496722,-10.4,81540960000,0.287144482,13.03404092,6.5726962460000005,2,1
43,2.563195147,MO,2014,1.056394763,56.7,79658460000,0.285540705,14.43872757,7.604131227000001,1,1
44,2.268634317,MO,2013,1.177911044,69.56,74157060000,0.35066566200000004,11.31650542,8.030394373,3,1
45,2.065217391,MO,2012,-0.9581280790000001,-36.76,73404800000,0.338637959,11.31567751,7.084952024,2,1
46,2.268634317,MO,2013,0.8876684970000001,45.9,73129530000,0.38806388299999994,13.228930900000002,9.088540207000001,1,1
47,-8.5,MO,2020,1.6560818080000002,68.65,72926500000,0.23720006100000002,11.468233999999999,7.041876815,1,0
48,2.268634317,MO,2013,-0.623564653,-35.89,71226680000,0.355119215,11.29685646,8.66058906,2,1
