Date,Open,High,Low,Close,Adj Close,Volume
2017-07-01,100.519997,117.809998,99.010002,111.779999,111.779999,5809800
2017-08-01,112.169998,122.449997,97.860001,105.820000,105.820000,7945400
2017-09-01,106.000000,113.410004,96.419998,101.489998,101.489998,7229700
2017-10-01,101.980003,115.470001,96.800003,107.949997,107.949997,7498000
2017-11-01,107.889999,129.750000,107.000000,124.489998,124.489998,7940800
2017-12-01,124.199997,140.520004,111.500000,132.009995,132.009995,8666600
2018-01-01,133.220001,143.369995,129.270004,138.130005,138.130005,8681400
2018-02-01,138.130005,139.619995,112.010002,113.639999,113.639999,8322600
2018-03-01,113.000000,123.989998,108.000000,112.669998,112.669998,6103500
2018-04-01,112.529999,143.220001,105.120003,132.910004,132.910004,10639600
2018-05-01,132.880005,164.160004,131.110001,160.990005,160.990005,8686200
2018-06-01,163.300003,164.759995,130.500000,139.539993,139.539993,10465600
2018-07-01,138.990005,152.500000,130.820007,135.070007,135.070007,7092400
2018-08-01,134.729996,148.880005,125.500000,146.779999,146.779999,6487100
2018-09-01,146.190002,179.649994,137.279999,172.740005,172.740005,14218700
2018-10-01,174.520004,175.000000,130.000000,137.490005,137.490005,14694400
2018-11-01,139.410004,152.279999,116.580002,123.019997,123.019997,10044000
2018-12-01,125.000000,131.330002,90.139999,97.389999,97.389999,8745100
2019-01-01,96.169998,143.479996,95.000000,142.750000,142.750000,11194100
2019-02-01,143.820007,179.619995,137.169998,172.009995,172.009995,10669200
2019-03-01,173.479996,182.229996,160.240005,168.570007,168.570007,8423200
2019-04-01,169.539993,174.000000,151.320007,169.309998,169.309998,7674600
2019-05-01,170.139999,196.000000,163.190002,173.240005,173.240005,11264500
2019-06-01,173.169998,182.050003,164.619995,172.389999,172.389999,5442700
2019-07-01,175.419998,180.750000,158.059998,162.300003,162.300003,7127800
2019-08-01,162.720001,175.350006,136.110001,142.410004,142.410004,12409800
2019-09-01,140.929993,151.350006,112.610001,115.029999,115.029999,14005500
2019-10-01,115.000000,139.720001,105.099998,133.820007,133.820007,13908800
2019-11-01,135.000000,140.679993,95.709999,102.110001,102.110001,19615400
2019-12-01,102.150002,111.680000,95.900002,104.559998,104.559998,13417200
2020-01-01,105.750000,122.690002,100.180000,115.529999,115.529999,12974300
2020-02-01,116.889999,132.050003,98.089996,102.309998,102.309998,11151700
2020-03-01,102.400002,104.570000,67.980003,87.570000,87.570000,14379200
2020-04-01,85.699997,108.250000,80.699997,100.139999,100.139999,7657400
2020-05-01,100.000000,134.350006,96.099998,122.750000,122.750000,9406900
2020-06-01,124.459999,133.630005,116.080002,122.720001,122.720001,6168300
2020-07-01,123.040001,128.869995,123.040001,125.349998,125.349998,829200
2020-07-02,127.500000,127.764999,124.260002,125.349998,125.349998,269000
