,index,Ticker,Market_Cap
0,8,MO,95005005514.4563
1,4,CRBP,64320342088.33905
2,6,GWPH,39779370174.34417
3,11,TAP,8899637417.156359
4,14,YCBD,8791515957.4975
5,9,NBEV,6206847675.309999
6,3,CGC,5568610608.0
7,10,SMG,3702029362.932375
8,12,TLRY,3195092712.7213893
9,0,AMRS,3024179656.0663633
