,EPS,Ticker,Quarter-Year,CFPS,PE_Ratio,Market_Cap,ROE,Price_Sales_Ratio,Payout_Ratio,Debt_Equity_Ratio,Quarter,Final_Rating
0,-2.382435575621152,AMRS,2019,-0.4287829634918327,-3.4141503113799847,268632174.8,0.3076195279481736,6.6270025360173666,0.0,-1.629321635643549,4.0,0
1,-2.382435575621152,AMRS,2019,-0.6044174695369107,-5.340484699808535,312396993.0,0.27332535885167464,8.93763033216033,0.0,-1.5986234674043065,3.0,0
2,-2.382435575621152,AMRS,2019,-0.25081553359764075,-6.59264220331863,251100556.24,0.21011634514070093,4.00517683095671,0.0,-1.6775270175593449,2.0,0
3,-2.382435575621152,AMRS,2019,-0.4770870555767329,-5.242124063221775,347254024.32000005,0.2781718086647602,24.158482281897868,0.0,-1.4415399538920872,1.0,0
4,-2.2242189004193955,AMRS,2018,-0.663895500560093,1.1627608573574442,100631138.4,-0.3974402542295046,1.221459209088923,0.0,-1.5874694612318374,4.0,0
5,-2.2242189004193955,AMRS,2018,-0.6272296017205959,-6.045001992213229,413000581.11,0.3308090467590194,27.781553956007,0.0,-1.5940240259142873,3.0,0
6,-2.2242189004193955,AMRS,2018,-0.5170415231840172,229.89635616438355,352431114.0,-0.006013816478563275,15.194926015348795,0.0,-1.4654607650453293,2.0,0
7,-2.2242189004193955,AMRS,2018,-0.4998720240755552,-3.6927373724534407,337870698.63,0.31318372879499434,14.691307880250454,0.0,-1.4044525377548367,1.0,0
8,-2.242511449120206,AMRS,2017,0.06309379085788022,-99.60954292773316,161267850.0,0.008069017762803771,2.001139747853278,0.0,-1.7549839516756045,4.0,0
9,-2.242511449120206,AMRS,2017,-1.5568771316658463,-2.5068972368611764,86480433.98,0.17569315704769084,3.574014711741125,0.0,-1.7057927760914295,3.0,0
10,-2.242511449120206,AMRS,2017,-1.6388381558043896,75.70244705526771,87663433.69,-0.005781818726501999,3.4136851125389405,0.0,-1.5627287388345492,2.0,0
11,-2.242511449120206,AMRS,2017,-0.08755022975927504,-62.86472531107008,2349317649.6,0.1761221181216657,180.99519642526963,0.0,-1.449808660244689,1.0,0
12,-0.40821137217899545,AMRS,2016,-0.1551080751707314,-44.01521429596964,2145961773.0,0.2643335411640326,96.49976495188416,0.0,-1.704128602022283,4.0,0
13,-0.40821137217899545,AMRS,2016,-0.02825743701633145,-181.25661021314386,3571661504.25,0.1213481623805301,134.55119624223016,0.0,-1.6122462804217164,3.0,0
14,-0.40821137217899545,AMRS,2016,-0.0703902176821641,-83.7436938854489,1136066951.25,0.08805088596092685,118.36496678995623,0.0,-1.6871097553060297,2.0,0
15,-0.40821137217899545,AMRS,2016,-0.11459001001850568,-207.09127997778938,3170153313.9,0.09770544119993617,359.79495107252296,0.0,-1.6516993776926758,1.0,0
16,-1.7174645028035884,AMRS,2015,-0.25925166524397897,-66.75018480686695,2799502750.8,0.2653338816309746,284.3000660911953,0.0,-1.6971688862176952,4.0,0
17,-1.7174645028035884,AMRS,2015,-0.19406010450814928,-33.09006920835072,2537611227.4500003,0.5432354128739313,295.3801917646374,0.0,-1.9564351946957192,3.0,0
18,-1.7174645028035884,AMRS,2015,-0.3706337796191831,-42.80391951995251,2018718452.4,0.2074422696283264,257.39110702537295,0.0,-1.7085330987464262,2.0,0
19,-1.7174645028035884,AMRS,2015,-0.0413521230345324,-51.38776795568482,2685627528.9,0.28165689402431665,341.1620336509146,0.0,-2.0404307148400447,1.0,0
20,0.027640271572109514,AMRS,2014,-0.2627675286834463,34.878735854327246,2022722528.4,-0.4659868865104619,174.5984055589124,0.0,-2.737079355896249,4.0,1
21,0.027640271572109514,AMRS,2014,-0.3618850345758245,-94.93402488956151,3481420560.75,0.20372654244858504,213.0481953827795,0.0,-2.4368798817817185,3.0,1
22,0.027640271572109514,AMRS,2014,-0.3329025825579813,-128.69837498169528,4570079295.599999,0.25548416803965723,491.0367782959063,0.0,-3.044355389917333,2.0,1
23,0.027640271572109514,AMRS,2014,-0.1295450961408655,248.02179545121055,4056644486.4,-0.14623286752675482,671.5187032610494,0.0,-3.1170506665236166,1.0,1
24,-3.112473545094476,AMRS,2013,-0.48275689364521795,-35.80153270347795,4992523735.5,1.0309468890466051,324.25301912710273,0.0,-2.470191625266146,4.0,0
25,-3.112473545094476,AMRS,2013,-0.32136067911030664,-121.92907239970282,2954097566.1,-23.98811881188119,421.7729249143346,0.0,192.83960396039603,3.0,0
26,-3.112473545094476,AMRS,2013,-0.2810545518337449,-79.12095781723802,3078912952.5,-1.867543312377021,283.796935431837,0.0,8.734366751451745,2.0,0
27,-3.112473545094476,AMRS,2013,-0.3313468889541852,-92.55515667646604,2990919888.0,-0.5443534802237046,380.0889424323294,0.0,3.061518765581834,1.0,0
28,-3.6325941653414375,AMRS,2012,-0.5497209353898681,-57.3498881758151,2501258022.9,-0.649926981193932,427.2733213016741,0.0,2.6186630107590974,4.0,0
29,-3.6325941653414375,AMRS,2012,-0.5055177178802875,-111.58001086668631,2274893261.55,-0.2631898276641064,119.05449348702116,0.0,2.3767507906796617,3.0,0
30,-3.6325941653414375,AMRS,2012,-0.5527550895351223,-60.640617950567524,2858295527.1,-0.5121532493779405,148.38267804080363,0.0,2.206273836558626,2.0,0
31,-3.6325941653414375,AMRS,2012,-1.2318429817610128,-24.843579438543248,2357556314.4,-0.7140621237659524,80.00123229156063,0.0,1.4237599325788586,1.0,0
32,-4.007026398056245,AMRS,2011,-0.5966197144868409,-105.25133729541186,6276347745.599999,-0.3702655043091672,151.0953018994198,0.0,0.9876251148697316,4.0,0
