,F_Date,EPS,CFPS,PE_Ratio,Market_Cap,ROE,Price_Sales_Ratio,Payout_Ratio,Debt_Equity_Ratio,Ticker,Quarter,Quarter-Year
0,2020-03-31,-0.5653219038505856,-0.2990411124940739,-4.776039954598344,418677214.5,0.48235371798963345,14.372715911431516,0.0,-1.889731371534847,AMRS,1,2020
1,2019-12-31,-0.7761814092270827,-0.42878296349183265,-3.414150311379985,268632174.8,0.3076195279481736,6.627002536017367,0.0,-1.629321635643549,AMRS,4,2019
2,2019-09-30,-0.6403913113209768,-0.6044174695369107,-5.340484699808534,312396993.0,0.27332535885167464,8.93763033216033,0.0,-1.5986234674043063,AMRS,3,2019
3,2019-06-30,-0.44898538533002497,-0.25081553359764075,-6.59264220331863,251100556.24,0.21011634514070093,4.00517683095671,0.0,-1.6775270175593449,AMRS,2,2019
4,2019-03-31,-0.8546154089391432,-0.4770870555767329,-5.242124063221775,347254024.32000005,0.2781718086647602,24.15848228189787,0.0,-1.4415399538920872,AMRS,1,2019
5,2018-12-31,2.683268859850243,-0.663895500560093,1.1627608573574442,100631138.4,-0.3974402542295046,1.221459209088923,0.0,-1.5874694612318374,AMRS,4,2018
6,2018-09-30,-1.2258060476315924,-0.6272296017205959,-6.045001992213229,413000581.11,0.3308090467590194,27.781553956007,0.0,-1.5940240259142873,AMRS,3,2018
7,2018-06-30,0.028882580440953917,-0.5170415231840172,229.89635616438355,352431114.0,-0.006013816478563275,15.194926015348795,0.0,-1.4654607650453293,AMRS,2,2018
8,2018-03-31,-1.7900000279760868,-0.49987202407555514,-3.6927373724534407,337870698.63,0.31318372879499434,14.691307880250456,0.0,-1.4044525377548367,AMRS,1,2018
9,2017-12-31,-0.050195993807817245,0.06309379085788022,-99.60954292773316,161267850.0,0.008069017762803771,2.001139747853278,0.0,-1.7549839516756045,AMRS,4,2017
10,2017-09-30,-1.2645113462923905,-1.5568771316658465,-2.5068972368611764,86480433.98,0.17569315704769084,3.574014711741125,0.0,-1.7057927760914295,AMRS,3,2017
11,2017-06-30,0.05455570012135581,-1.6388381558043896,75.7024470552677,87663433.69,-0.005781818726501999,3.4136851125389405,0.0,-1.5627287388345492,AMRS,2,2017
12,2017-03-31,-0.12884809342471812,-0.08755022975927504,-62.86472531107008,2349317649.6,0.1761221181216657,180.99519642526963,0.0,-1.4498086602446887,AMRS,1,2017
13,2016-12-31,-0.20447475137759596,-0.15510807517073139,-44.01521429596964,2145961773.0,0.2643335411640326,96.49976495188416,0.0,-1.704128602022283,AMRS,4,2016
14,2016-09-30,-0.08689338271017652,-0.028257437016331446,-181.25661021314386,3571661504.25,0.1213481623805301,134.55119624223016,0.0,-1.6122462804217164,AMRS,3,2016
15,2016-06-30,-0.0626912876231774,-0.0703902176821641,-83.7436938854489,1136066951.25,0.08805088596092685,118.36496678995623,0.0,-1.6871097553060297,AMRS,2,2016
16,2016-03-31,-0.07388046469962874,-0.11459001001850569,-207.09127997778938,3170153313.9,0.09770544119993617,359.794951072523,0.0,-1.6516993776926758,AMRS,1,2016
